1LHC,DP7,[H]/N=C(/N)\NCCC[C@@H](B(O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)C
1LHD,DI2,B([C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)C)(O)O
1LHE,DI3,B([C@H](CCCCC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)C)(O)O
1LHF,DI4,B([C@H](CCCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)C)(O)O
1LHG,DI5,B([C@H](CCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)C)(O)O
1MU6,CDA,CC1=CN=C(C(=O)N1CC(=O)NCc2c(cccn2)F)NCC(c3ccccn3)(F)F
1MU8,CDB,Cc1ccnc(c1F)CNC(=O)CN2C(=C[NH+]=C(C2=O)NCC(c3cccc[nH+]3)(F)F)C
1MUE,CDD,c1ccc(c(c1)CNC(=O)CN2C(=CN=C(C2=O)NCC(c3cccc[n+]3[O-])(F)F)Cl)F
1NM6,L86,c1ccc(cc1)C[C@H]2CNCCCNCCc3ccccc3CNC(=O)CN4C(=CN=C(C4=O)N2)Cl
1NO9,4ND,c1ccc(cc1)N(c2ccccc2)C(=O)NNC(=N)N
1NT1,T76,c1cc2c(cc1Cl)CNC(=O)[C@@H]3CCCN3C(=O)[C@H](NC(=O)CCNC(=O)CO2)C4CCCCC4
1NU7,0ZJ,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=[NH2+])N)C(CCl)O)NC(=O)CS
1NZQ,162,Cn1cc(cc1C(=N)N)CNC(=O)c2cccn2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O
1NZQ,ALC,C1CCC(CC1)C[C@@H](C(=O)O)N
1NZQ,HYP,C1[C@H](CN[C@@H]1C(=O)O)O
1NZQ,SMF,c1cc(ccc1C[C@@H](C(=O)O)N)CS(=O)(=O)O
1O0D,163,Cn1c(ccc1C(=N)N)CNC(=O)c2cccn2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O
1O2G,696,c1ccc(cc1)c2cccc(c2[O-])c3cc4cc(ccc4[nH]3)C(=[NH2+])N
1O5G,CR9,C[C@H]1CCCC[C@@H]1Oc2cccc(c2[O-])c3[nH]c4cc(c(cc4n3)C(=[NH2+])N)F
1OYT,FSN,c1cc(ccc1CN2C(=O)[C@H]3[C@@H]4CCC[N@@]4[C@H]([C@H]3C2=O)c5ccc(cc5)C(=[NH2+])N)F
1QBV,PPX,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCCNc3ccncc3)N
1QHR,157,C1C[C@@H]([C@H](C1)O)[C@@H](CCCCC(=N)N)C=O
1QJ1,166,c1cc(ccc1c2ccc3c(c2)[C@@H]([C@H](C3)O)[C@@H](CCCCC(=N)N)C(=O)O)O
1QJ6,167,COc1cccc(c1)c2ccc3c(c2)C[C@@H]([C@H]3[C@@H](CCCCC(=N)N)C(=O)O)O
1QJ7,GR1,CCN(CC)C(=O)c1cccc(c1)c2ccc3c(c2)C[C@@H]([C@H]3[C@@H](CCCCC(=N)N)C(=O)O)O
1RIW,OSC,c1ccc(cc1)C[C@H](C(=O)N2[C@H]3C[C@@H](CC[C@H]3C[C@H]2C(=O)NCCC4=CCN(C4)C(=N)N)O)NC(=O)[C@@H](Cc5ccccc5)O
1SB1,165,c1ccc(cc1)CS(=O)(=O)N[C@H](CC2CCCCC2)C(=O)N3CCC[C@H]3C(=O)Nc4ccc5c(c4)sc(n5)N
1SL3,170,c1cc[n+](c(c1)C(CNC2=NC=C(N(C2=O)CC(=O)NCc3cc(ccc3n4cnnn4)Cl)Cl)(F)F)[O-]
1T4U,81A,[H]/N=C(\N)/NOCC1(CC1)COc2cc(cc(c2)OS(=O)(=O)c3ccccc3S(=O)(=O)C)C
1T4V,14A,C=CCN(C1CCCC1)C(=O)c2cc(cc(c2)Cl)OCCCONC(=N)N
1TA2,176,c1ccc(cc1)C(c2ccccc2)[C@H](C(=O)N3CCC[C@H]3C(=O)NCc4cc(ccc4Cl)Cl)N
1TA6,177,CCNC(=O)COc1ccc(cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C3CCCCC3)N)Cl
1TBZ,00Q,[H]/N=C(\N)/NCCC[C@@H]([C@@H](c1nc2ccccc2s1)O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc4ccccc4)N
1TMT,DPN,c1ccc(cc1)C[C@H](C(=O)O)N
1TOM,MIN,CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCC3CCC(CC3)N
1UMA,IN2,CN(C)C(=O)NN(CCCCN)C(=O)O
1VZQ,SHY,[H]/N=C(\c1ccc(cc1)[C@H]2[C@@H]3[C@H]([C@H]4[N@@]2C[C@@H](C4)O)C(=O)N(C3=O)Cc5ccc6c(c5)OCO6)/N
1W7G,MIU,c1cc(cc(c1)S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)N2CCN(CC2)CCCN)C(F)(F)F
1WAY,L02,c1cc(ccc1c2cc([nH]n2)C3CCNCC3)Cl
1WBG,L03,CSc1[nH]c(nn1)c2ccc(cc2)Cl
1XM1,GAH,[H]/N=C(\N)/NCCCC[C@@H](C(=O)N)NC(=O)[C@@H](Cc1ccc(cc1)O)NC(=O)[C@@H]2CCN2C(=O)[C@@H](CC3CCCCC3)NC(=O)C4CCC(CC4)CN/C(=N/[H])/N
1XMN,IDS,[C@@H]1([C@@H]([C@@H](O[C@H]([C@@H]1OS(=O)(=O)O)O)C(=O)O)O)O
1XMN,SGN,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O
1YPE,UIP,CC[C@@H]1[C@H]2[C@@H]3CCC[N@@]3[C@H]([C@H]2C(=O)N1Cc4ccc5c(c4)OCO5)c6ccc(cc6)C(=N)N
1YPG,UIR,c1cc(ccc1[C@H]2[C@@H]3[C@H]([C@H]4[N@@]2CCC4)[C@H](N(C3=O)Cc5ccc6c(c5)OCO6)C7CC7)C(=N)N
1YPJ,UIB,CC[C@@H]1[C@@H]2[C@@H]([C@@H]([N@](C2(C)C)C)c3ccc(cc3)C(=N)N)C(=O)N1Cc4ccc5c(c4)OCO5
1YPK,CCR,Cc1cc(c(c(c1S(=O)(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccc(cc2)C(=N)N)C(=O)N3CCCCC3)C)C)OC
1YPL,RA8,[H]/N=C(/N)\NCCCCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NS(=O)(=O)Cc2ccccc2
1YPM,RA4,[H]/N=C(\N)/NCCCCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)c2ccc(cc2)[N+](=O)[O-]
1Z71,L17,C[C@H](c1cccc(c1)Cl)NC(=O)Cc2c(ccc([n+]2[O-])NCC(c3cccc[n+]3[O-])(F)F)Cl
1ZGI,382,c1ccc(c(c1)Cc2nc3c(o2)ccnc3NCC([C@H]4CCCCN4)(F)F)n5cncn5
